vertex,one,Q_one,Q2_one,Q3_one
619,1,2,16,136
620,1,2,16,136
621,1,2,16,136
622,1,2,16,136
623,1,14,120,1024
624,1,2,16,136
625,1,2,16,136
626,1,2,16,136
627,1,2,16,136
628,1,2,16,136
629,1,2,16,136
630,1,2,12,100
631,1,2,12,100
632,1,14,120,1024
633,1,2,16,136
634,1,2,16,136
635,1,2,16,136
636,1,2,16,136
637,1,2,16,136
638,1,2,16,136
639,1,14,120,1024
640,1,2,16,136
641,1,2,16,136
642,1,2,16,136
643,1,2,16,136
644,1,2,16,136
645,1,2,16,136
646,1,2,12,100
647,1,2,12,100
648,1,14,120,1024
649,1,2,16,136
650,1,2,16,136
651,1,2,16,136
652,1,2,16,136
653,1,2,16,136
654,1,2,16,136
655,1,14,120,1024
656,1,2,16,136
657,1,2,16,136
658,1,2,16,136
659,1,2,16,136
660,1,2,16,136
661,1,2,16,136
662,1,2,12,100
663,1,2,12,100
664,1,14,120,1024
665,1,2,16,136
666,1,2,16,136
667,1,2,16,136
668,1,2,16,136
669,1,2,16,136
670,1,2,16,136
671,1,14,120,1024
672,1,2,16,136
673,1,2,16,136
674,1,2,16,136
675,1,2,16,136
676,1,2,16,136
677,1,2,16,136
678,1,2,12,100
679,1,2,12,100
680,1,14,120,1024
681,1,2,16,136
682,1,2,16,136
683,1,2,16,136
684,1,2,16,136
685,1,2,16,136
686,1,2,16,136
687,1,14,120,1024
688,1,2,16,136
689,1,2,16,136
690,1,2,16,136
691,1,2,16,136
692,1,2,16,136
693,1,2,16,136
694,1,14,120,1024
695,1,2,16,136
696,1,2,16,136
697,1,2,16,136
698,1,2,16,136
699,1,2,16,136
700,1,2,16,136
701,1,2,12,100
702,1,2,12,100
703,1,14,120,1024
704,1,2,16,136
705,1,2,16,136
706,1,2,16,136
707,1,2,16,136
708,1,2,16,136
709,1,2,16,136
710,1,14,120,1024
711,1,2,16,136
712,1,2,16,136
713,1,2,16,136
714,1,2,16,136
715,1,2,16,136
716,1,2,16,136
717,1,2,12,100
718,1,2,12,100
719,1,14,120,1024
720,1,2,16,136
721,1,2,16,136
722,1,2,16,136
723,1,2,16,136
724,1,2,16,136
725,1,2,16,136
726,1,14,120,1024
727,1,2,16,136
728,1,2,16,136
729,1,2,16,136
730,1,2,16,136
731,1,2,16,136
732,1,2,16,136
733,1,2,12,100
734,1,2,12,100
735,1,14,120,1024
736,1,2,16,136
737,1,2,16,136
738,1,2,16,136
739,1,2,16,136
740,1,2,16,136
741,1,2,16,136
742,1,14,120,1024
743,1,2,16,136
744,1,2,16,136
745,1,2,16,136
746,1,2,16,136
747,1,2,16,136
748,1,2,16,136
749,1,2,12,100
750,1,2,12,100
751,1,14,120,1024
752,1,2,16,136
753,1,2,16,136
754,1,2,16,136
755,1,2,16,136
756,1,2,16,136
757,1,2,16,136
758,1,14,120,1024
759,1,2,16,136
